"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2021","72.1801","71.9120","72.3476","71.7391","","0.11%"
"06/14/2021","72.1015","72.0819","72.3500","72.0421","","-0.02%"
"06/11/2021","72.1126","71.7292","72.2550","71.5630","","0.47%"
"06/10/2021","71.7738","72.2573","72.2573","71.7049","","-0.74%"
"06/09/2021","72.3117","72.2188","72.3708","72.0030","","0.03%"
"06/08/2021","72.2935","72.8754","72.9074","72.2733","","-0.72%"
"06/07/2021","72.8164","72.9192","73.0483","72.7664","","0.04%"
"06/04/2021","72.7878","73.3098","73.3180","72.7742","","-0.62%"
"06/03/2021","73.2447","73.2377","73.3403","73.0530","","0.13%"
"06/02/2021","73.1472","73.5857","73.7045","73.1132","","-0.49%"
"06/01/2021","73.5110","73.2636","73.6738","73.1205","","0.10%"
"05/31/2021","73.4341","73.3293","73.4720","73.2502","","0.37%"
"05/28/2021","73.1646","73.5933","73.6945","73.1646","","-0.44%"
"05/27/2021","73.4885","73.5638","73.5822","73.3270","","-0.02%"
"05/26/2021","73.5012","73.3518","73.7124","73.3411","","0.00%"
"05/25/2021","73.5014","73.3611","73.5611","73.2099","","0.04%"
"05/24/2021","73.4700","73.5999","73.8438","73.4273","","-0.21%"
"05/21/2021","73.6222","73.5383","73.6686","73.3656","","0.14%"
"05/20/2021","73.5218","73.6896","73.7810","73.4623","","-0.34%"
"05/19/2021","73.7722","73.6437","73.8798","73.5487","","0.08%"
"05/18/2021","73.7118","73.7099","73.9400","73.5638","","-0.12%"
"05/17/2021","73.8023","73.8937","74.1075","73.7625","","-0.28%"
"05/14/2021","74.0079","73.9795","74.0653","73.7367","","-0.06%"
"05/13/2021","74.0554","74.4115","74.5024","73.8389","","-0.79%"
"05/12/2021","74.6465","74.1154","74.6682","73.9320","","0.72%"
"05/11/2021","74.1117","74.2380","74.3075","73.8390","","-0.32%"
"05/10/2021","74.3512","73.6910","74.3513","73.5555","","0.75%"
"05/07/2021","73.7955","74.3114","74.3135","73.5504","","-0.60%"
"05/06/2021","74.2400","74.7727","74.7825","74.2081","","-0.83%"
"05/05/2021","74.8614","74.8817","74.9908","74.6075","","0.00%"
"05/04/2021","74.8595","75.1859","75.3481","74.7284","","-0.46%"
"04/30/2021","75.2073","74.5422","75.2363","74.5074","","0.77%"
"04/29/2021","74.6300","74.4498","74.7304","74.2151","","0.30%"
"04/28/2021","74.4065","74.9507","74.9970","74.3648","","-0.67%"
